Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
405,Jack Robinson,eng ENG,DF,Sheffield Utd,26,1993,11,9,877,9.7,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,3,22,6,0.00,0.10,0.10,0.00,0.10,0.07,0.06,0.13,0.07,0.13,Matches,2020-2021
406,Hal Robson-Kanu,wls WAL,FW,West Brom,31,1989,19,2,561,6.2,2,0,2,2,0,0,2,0,1.2,1.2,0.2,1.5,8,11,33,0.32,0.00,0.32,0.32,0.32,0.19,0.04,0.23,0.19,0.23,Matches,2020-2021
407,Marek Rodák,sk SVK,GK,Fulham,23,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
408,Joe Rodon,wls WAL,DF,Tottenham,22,1997,12,8,733,8.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
409,Rodri,es ESP,MF,Manchester City,24,1996,34,31,2748,30.5,2,2,4,1,1,1,6,0,2.4,1.6,1.4,3.1,42,227,31,0.07,0.07,0.13,0.03,0.10,0.08,0.05,0.13,0.05,0.10,Matches,2020-2021
410,Rodrigo,es ESP,"MF,FW",Leeds United,29,1991,26,14,1288,14.3,7,2,9,7,0,0,3,0,5.1,5.1,3.5,8.7,30,80,118,0.49,0.14,0.63,0.49,0.63,0.36,0.25,0.60,0.36,0.60,Matches,2020-2021
411,James Rodríguez,co COL,"FW,MF",Everton,29,1991,23,21,1764,19.6,6,4,10,6,0,0,4,0,2.8,2.8,4.8,7.6,36,133,89,0.31,0.20,0.51,0.31,0.51,0.14,0.25,0.39,0.14,0.39,Matches,2020-2021
412,Jay Rodriguez,eng ENG,FW,Burnley,31,1989,31,12,1265,14.1,1,2,3,1,0,0,3,0,3.0,3.0,1.1,4.1,16,23,79,0.07,0.14,0.21,0.07,0.21,0.22,0.08,0.29,0.22,0.29,Matches,2020-2021
413,Oriol Romeu,es ESP,MF,Southampton,28,1991,21,20,1763,19.6,1,1,2,1,0,0,6,0,0.5,0.5,1.4,1.8,25,91,15,0.05,0.05,0.10,0.05,0.10,0.02,0.07,0.09,0.02,0.09,Matches,2020-2021
414,John Ruddy,eng ENG,GK,Wolves,33,1986,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
415,Antonio Rüdiger,de GER,DF,Chelsea,27,1993,19,19,1710,19.0,1,0,1,1,0,0,0,0,1.3,1.3,0.4,1.7,24,71,6,0.05,0.00,0.05,0.05,0.05,0.07,0.02,0.09,0.07,0.09,Matches,2020-2021
416,Mathew Ryan,au AUS,GK,Arsenal,28,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,2020-2021
417,Mathew Ryan,au AUS,GK,Brighton,28,1992,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
418,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23,1997,25,19,1560,17.3,3,4,7,3,0,0,0,0,2.6,2.6,3.7,6.3,81,65,86,0.17,0.23,0.40,0.17,0.40,0.15,0.21,0.36,0.15,0.36,Matches,2020-2021
419,Romain Saïss,ma MAR,DF,Wolves,30,1990,27,27,2407,26.7,3,0,3,3,0,0,2,0,3.0,3.0,0.2,3.3,12,100,24,0.11,0.00,0.11,0.11,0.11,0.11,0.01,0.12,0.11,0.12,Matches,2020-2021
420,Bukayo Saka,eng ENG,"FW,MF",Arsenal,18,2001,32,30,2553,28.4,5,3,8,5,0,0,1,0,6.9,6.9,4.4,11.3,85,101,269,0.18,0.11,0.28,0.18,0.28,0.24,0.16,0.40,0.24,0.40,Matches,2020-2021
421,Mamadou Sakho,fr FRA,DF,Crystal Palace,30,1990,4,3,276,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2020-2021
422,Mohamed Salah,eg EGY,FW,Liverpool,28,1992,37,34,3078,34.2,22,5,27,16,6,6,0,0,19.3,14.6,6.2,20.8,111,136,396,0.64,0.15,0.79,0.47,0.61,0.56,0.18,0.75,0.43,0.61,Matches,2020-2021
423,Mohammed Salisu,gh GHA,DF,Southampton,21,1999,12,8,844,9.4,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,13,8,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,2020-2021
424,Davinson Sánchez,co COL,DF,Tottenham,24,1996,18,17,1486,16.5,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,36,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,2020-2021
425,Robert Sánchez,es ESP,GK,Brighton,22,1997,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
426,Morgan Sanson,fr FRA,MF,Aston Villa,25,1994,9,3,294,3.3,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.2,9,16,13,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,2020-2021
427,Romaine Sawyers,kn SKN,MF,West Brom,28,1991,19,17,1487,16.5,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,11,67,9,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
428,Dane Scarlett,eng ENG,FW,Tottenham,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
429,Fabian Schär,ch SUI,DF,Newcastle Utd,28,1991,18,13,1246,13.8,1,0,1,0,1,1,4,1,1.3,0.5,0.0,0.5,6,41,0,0.07,0.00,0.07,0.00,0.00,0.09,0.00,0.09,0.04,0.04,Matches,2020-2021
430,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,27,1992,27,15,1428,15.9,2,3,5,2,0,0,3,0,1.9,1.9,2.0,4.0,37,44,75,0.13,0.19,0.32,0.13,0.32,0.12,0.13,0.25,0.12,0.25,Matches,2020-2021
431,Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
432,Nélson Semedo,pt POR,"DF,MF",Wolves,26,1993,34,34,2983,33.1,1,1,2,1,0,0,5,0,1.3,1.3,1.3,2.6,111,138,155,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches,2020-2021
433,Femi Seriki,eng ENG,MF,Sheffield Utd,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
434,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,20,1999,13,3,461,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,11,21,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,2020-2021
435,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,28,1991,14,5,556,6.2,0,2,2,0,0,0,2,0,0.5,0.5,2.5,3.0,5,54,32,0.00,0.32,0.32,0.00,0.32,0.08,0.41,0.48,0.08,0.48,Matches,2020-2021
436,Billy Sharp,eng ENG,FW,Sheffield Utd,34,1986,16,7,735,8.2,3,0,3,1,2,2,1,0,3.0,1.5,0.5,2.0,9,11,65,0.37,0.00,0.37,0.12,0.12,0.37,0.07,0.44,0.18,0.24,Matches,2020-2021
437,Luke Shaw,eng ENG,DF,Manchester Utd,25,1995,32,30,2654,29.5,1,5,6,1,0,0,8,0,0.6,0.6,6.4,7.0,110,147,209,0.03,0.17,0.20,0.03,0.20,0.02,0.22,0.24,0.02,0.24,Matches,2020-2021
438,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28,1992,30,29,2617,29.1,1,3,4,1,0,0,7,0,2.5,2.5,3.0,5.5,20,132,24,0.03,0.10,0.14,0.03,0.14,0.09,0.10,0.19,0.09,0.19,Matches,2020-2021
439,Shola Shoretire,eng ENG,FW,Manchester Utd,16,2004,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
440,Gylfi Sigurðsson,is ISL,"MF,FW",Everton,30,1989,36,24,2253,25.0,6,5,11,3,3,4,2,0,6.5,3.4,3.8,7.2,24,81,78,0.24,0.20,0.44,0.12,0.32,0.26,0.15,0.41,0.13,0.29,Matches,2020-2021
441,Bernardo Silva,pt POR,"MF,FW",Manchester City,25,1994,26,24,2065,22.9,2,6,8,2,0,0,5,0,2.8,2.8,3.8,6.5,123,116,173,0.09,0.26,0.35,0.09,0.35,0.12,0.16,0.29,0.12,0.29,Matches,2020-2021
442,Fábio Silva,pt POR,FW,Wolves,18,2002,32,11,1369,15.2,4,3,7,3,1,1,2,0,5.3,4.5,1.0,5.5,14,17,74,0.26,0.20,0.46,0.20,0.39,0.35,0.07,0.41,0.29,0.36,Matches,2020-2021
443,Thiago Silva,br BRA,DF,Chelsea,35,1984,23,23,1935,21.5,2,0,2,2,0,0,5,1,1.7,1.7,0.3,2.0,6,82,1,0.09,0.00,0.09,0.09,0.09,0.08,0.01,0.09,0.08,0.09,Matches,2020-2021
444,Moussa Sissoko,fr FRA,MF,Tottenham,30,1989,25,15,1585,17.6,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.4,32,57,34,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021
445,Islam Slimani,dz ALG,FW,Leicester City,32,1988,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.28,0.23,0.50,0.28,0.50,Matches,2020-2021
446,William Smallbone,ie IRL,MF,Southampton,20,2000,3,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2020-2021
447,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,20,2000,20,18,1440,16.0,2,4,6,2,0,0,0,0,1.8,1.8,3.4,5.1,51,68,113,0.12,0.25,0.37,0.12,0.37,0.11,0.21,0.32,0.11,0.32,Matches,2020-2021
448,Robert Snodgrass,sct SCO,"MF,FW",West Brom,32,1987,8,6,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,6,14,25,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.12,0.04,0.12,Matches,2020-2021
449,Robert Snodgrass,sct SCO,"FW,MF",West Ham,32,1987,3,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
450,Cédric Soares,pt POR,DF,Arsenal,28,1991,10,8,746,8.3,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.2,21,46,40,0.00,0.12,0.12,0.00,0.12,0.03,0.11,0.15,0.03,0.15,Matches,2020-2021
451,Tomáš Souček,cz CZE,MF,West Ham,25,1995,38,38,3419,38.0,10,1,11,10,0,0,7,1,8.4,8.4,2.0,10.4,27,165,47,0.26,0.03,0.29,0.26,0.29,0.22,0.05,0.27,0.22,0.27,Matches,2020-2021
452,Çağlar Söyüncü,tr TUR,DF,Leicester City,24,1996,23,19,1819,20.2,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,27,90,2,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.06,0.03,0.06,Matches,2020-2021
453,Zack Steffen,us USA,GK,Manchester City,25,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
454,Dale Stephens,eng ENG,MF,Burnley,31,1989,7,3,261,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,11,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
455,Jack Stephens,eng ENG,DF,Southampton,26,1994,18,17,1537,17.1,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,17,65,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,2020-2021
456,Raheem Sterling,eng ENG,FW,Manchester City,25,1994,31,28,2536,28.2,10,7,17,10,0,1,4,0,11.0,10.2,5.7,15.9,129,67,351,0.35,0.25,0.60,0.35,0.60,0.39,0.20,0.59,0.36,0.57,Matches,2020-2021
457,Enda Stevens,ie IRL,DF,Sheffield Utd,30,1990,30,30,2700,30.0,0,1,1,0,0,0,6,0,1.3,1.3,1.6,2.9,44,124,99,0.00,0.03,0.03,0.00,0.03,0.04,0.05,0.10,0.04,0.10,Matches,2020-2021
458,John Stones,eng ENG,DF,Manchester City,26,1994,22,22,1933,21.5,4,0,4,4,0,0,0,1,1.8,1.8,0.1,1.8,38,101,3,0.19,0.00,0.19,0.19,0.19,0.08,0.00,0.09,0.08,0.09,Matches,2020-2021
459,Pascal Struijk,nl NED,"DF,MF",Leeds United,20,1999,27,22,2075,23.1,1,0,1,1,0,0,3,0,1.7,1.7,0.1,1.8,4,71,5,0.04,0.00,0.04,0.04,0.04,0.07,0.01,0.08,0.07,0.08,Matches,2020-2021
460,Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,6,6,487,5.4,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.1,8,14,11,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.20,0.08,0.20,Matches,2020-2021
461,Matt Targett,eng ENG,DF,Aston Villa,24,1995,38,38,3404,37.8,0,2,2,0,0,0,7,0,0.3,0.3,2.5,2.8,26,231,156,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.07,0.01,0.07,Matches,2020-2021
462,James Tarkowski,eng ENG,DF,Burnley,27,1992,36,36,3240,36.0,1,0,1,1,0,0,6,0,3.4,3.4,1.2,4.5,4,83,13,0.03,0.00,0.03,0.03,0.03,0.09,0.03,0.13,0.09,0.13,Matches,2020-2021
463,Percy Tau,za RSA,FW,Brighton,26,1994,3,1,103,1.1,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,4,1,11,0.00,0.87,0.87,0.00,0.87,0.00,0.36,0.36,0.00,0.36,Matches,2020-2021
464,Sidnei Tavares,pt POR,MF,Leicester City,18,2001,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
465,Charlie Taylor,eng ENG,DF,Burnley,26,1993,29,28,2426,27.0,0,1,1,0,0,0,1,0,0.1,0.1,1.4,1.5,62,73,68,0.00,0.04,0.04,0.00,0.04,0.00,0.05,0.06,0.00,0.06,Matches,2020-2021
466,Neil Taylor,wls WAL,DF,Aston Villa,31,1989,1,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
467,Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
468,Nathan Tella,ng NGA,"FW,MF",Southampton,21,1999,18,7,745,8.3,1,1,2,1,0,0,2,0,1.6,1.6,0.8,2.4,19,9,36,0.12,0.12,0.24,0.12,0.24,0.20,0.09,0.29,0.20,0.29,Matches,2020-2021
469,Alex Telles,br BRA,DF,Manchester Utd,27,1992,9,8,690,7.7,0,2,2,0,0,0,0,0,0.2,0.2,0.9,1.0,27,48,40,0.00,0.26,0.26,0.00,0.26,0.02,0.12,0.14,0.02,0.14,Matches,2020-2021
470,Kenny Tete,nl NED,"DF,MF",Fulham,24,1995,22,18,1481,16.5,0,1,1,0,0,0,3,0,0.3,0.3,1.4,1.7,38,71,73,0.00,0.06,0.06,0.00,0.06,0.02,0.09,0.10,0.02,0.10,Matches,2020-2021
471,Luke Thomas,eng ENG,DF,Leicester City,19,2001,14,12,969,10.8,1,0,1,1,0,0,2,0,0.3,0.3,0.7,1.0,15,27,45,0.09,0.00,0.09,0.09,0.09,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021
472,Youri Tielemans,be BEL,MF,Leicester City,23,1997,38,37,3357,37.3,6,4,10,4,2,2,6,0,4.4,2.8,3.1,5.9,52,272,66,0.16,0.11,0.27,0.11,0.21,0.12,0.08,0.20,0.08,0.16,Matches,2020-2021
473,Kieran Tierney,sct SCO,DF,Arsenal,23,1997,27,26,2299,25.5,1,3,4,1,0,0,4,0,0.5,0.5,3.5,4.0,82,95,194,0.04,0.12,0.16,0.04,0.16,0.02,0.14,0.16,0.02,0.16,Matches,2020-2021
474,James Tomkins,eng ENG,DF,Crystal Palace,31,1989,8,6,553,6.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,0,5,1,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches,2020-2021
475,Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
476,Ferrán Torres,es ESP,"FW,MF",Manchester City,20,2000,24,15,1306,14.5,7,2,9,7,0,0,1,0,4.9,4.9,2.2,7.1,30,31,118,0.48,0.14,0.62,0.48,0.62,0.33,0.15,0.49,0.33,0.49,Matches,2020-2021
477,Cenk Tosun,tr TUR,FW,Everton,29,1991,5,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,2020-2021
478,Andros Townsend,eng ENG,"MF,FW",Crystal Palace,29,1991,34,25,2258,25.1,1,5,6,1,0,0,0,0,2.3,2.3,4.0,6.2,72,75,112,0.04,0.20,0.24,0.04,0.24,0.09,0.16,0.25,0.09,0.25,Matches,2020-2021
479,Conor Townsend,eng ENG,DF,West Brom,27,1993,25,25,2234,24.8,0,2,2,0,0,0,0,0,1.1,1.1,2.7,3.7,37,113,74,0.00,0.08,0.08,0.00,0.08,0.04,0.11,0.15,0.04,0.15,Matches,2020-2021
480,Adama Traoré,es ESP,"FW,MF",Wolves,24,1996,37,28,2649,29.4,2,2,4,2,0,0,4,0,2.0,2.0,4.8,6.9,219,70,220,0.07,0.07,0.14,0.07,0.14,0.07,0.16,0.23,0.07,0.23,Matches,2020-2021
481,Bertrand Traoré,bf BFA,FW,Aston Villa,24,1995,36,29,2317,25.7,7,6,13,7,0,0,1,0,6.6,6.6,4.3,10.9,51,77,125,0.27,0.23,0.50,0.27,0.50,0.26,0.17,0.42,0.26,0.42,Matches,2020-2021
482,Trézéguet,eg EGY,FW,Aston Villa,25,1994,21,12,1166,13.0,2,1,3,2,0,0,0,0,3.8,3.8,2.1,5.9,31,35,79,0.15,0.08,0.23,0.15,0.23,0.29,0.16,0.46,0.29,0.46,Matches,2020-2021
483,Leandro Trossard,be BEL,"MF,FW",Brighton,25,1994,35,30,2607,29.0,5,5,10,5,0,0,2,0,4.6,4.6,4.9,9.5,73,142,219,0.17,0.17,0.35,0.17,0.35,0.16,0.17,0.33,0.16,0.33,Matches,2020-2021
484,Kostas Tsimikas,gr GRE,"DF,FW",Liverpool,24,1996,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
485,Axel Tuanzebe,cd COD,DF,Manchester Utd,22,1997,9,4,404,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,13,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
486,Cengiz Ünder,tr TUR,"FW,MF",Leicester City,23,1997,9,1,281,3.1,0,2,2,0,0,0,0,0,0.3,0.3,1.6,1.9,12,7,39,0.00,0.64,0.64,0.00,0.64,0.09,0.51,0.59,0.09,0.59,Matches,2020-2021
487,Yan Valery,tn TUN,"DF,MF",Southampton,21,1999,3,1,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,6,3,9,0.00,0.00,0.00,0.00,0.00,0.16,0.05,0.21,0.16,0.21,Matches,2020-2021
488,Virgil van Dijk,nl NED,DF,Liverpool,29,1991,5,5,370,4.1,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,30,1,0.24,0.00,0.24,0.24,0.24,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
489,Jamie Vardy,eng ENG,FW,Leicester City,33,1987,34,31,2840,31.6,15,9,24,7,8,9,1,0,19.9,12.8,4.7,17.5,57,31,202,0.48,0.29,0.76,0.22,0.51,0.63,0.15,0.78,0.41,0.55,Matches,2020-2021
490,Joël Veltman,nl NED,DF,Brighton,28,1992,28,25,2281,25.3,1,1,2,1,0,0,3,0,1.1,1.1,1.7,2.8,39,136,99,0.04,0.04,0.08,0.04,0.08,0.04,0.07,0.11,0.04,0.11,Matches,2020-2021
491,Jannik Vestergaard,dk DEN,DF,Southampton,27,1992,30,29,2574,28.6,3,0,3,3,0,0,3,1,1.5,1.5,0.5,2.1,14,82,2,0.10,0.00,0.10,0.10,0.10,0.05,0.02,0.07,0.05,0.07,Matches,2020-2021
492,Rúben Vinagre,pt POR,"MF,DF",Wolves,21,1999,2,1,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,2,11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,2020-2021
493,Carlos Vinícius,br BRA,FW,Tottenham,25,1995,9,3,308,3.4,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,1,2,12,0.29,0.00,0.29,0.29,0.29,0.36,0.02,0.39,0.36,0.39,Matches,2020-2021
494,João Virgínia,pt POR,GK,Everton,20,1999,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
495,Vitinha,pt POR,MF,Wolves,20,2000,19,5,520,5.8,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.2,11,20,18,0.00,0.17,0.17,0.00,0.17,0.09,0.11,0.20,0.09,0.20,Matches,2020-2021
496,Jake Vokins,eng ENG,DF,Southampton,20,2000,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,2020-2021
497,Matěj Vydra,cz CZE,FW,Burnley,28,1992,28,15,1371,15.2,3,2,5,3,0,0,0,0,5.2,5.2,1.8,7.0,19,19,112,0.20,0.13,0.33,0.20,0.33,0.34,0.12,0.46,0.34,0.46,Matches,2020-2021
498,Theo Walcott,eng ENG,"MF,FW",Southampton,31,1989,21,20,1618,18.0,3,3,6,3,0,0,0,0,2.3,2.3,1.0,3.3,37,37,105,0.17,0.17,0.33,0.17,0.33,0.13,0.06,0.18,0.13,0.18,Matches,2020-2021
499,Theo Walcott,eng ENG,FW,Everton,31,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
500,Kyle Walker,eng ENG,DF,Manchester City,30,1990,24,22,1946,21.6,1,1,2,1,0,0,1,0,0.3,0.3,0.6,0.9,80,130,71,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
501,Kyle Walker-Peters,eng ENG,DF,Southampton,23,1997,30,30,2645,29.4,0,2,2,0,0,0,4,0,1.0,1.0,1.2,2.2,92,89,112,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.08,0.04,0.08,Matches,2020-2021
502,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34,34,3060,34.0,2,4,6,2,0,0,3,0,0.9,0.9,2.3,3.2,89,145,176,0.06,0.12,0.18,0.06,0.18,0.03,0.07,0.09,0.03,0.09,Matches,2020-2021
503,Joel Ward,eng ENG,DF,Crystal Palace,30,1989,26,25,2256,25.1,0,1,1,0,0,0,5,0,0.1,0.1,0.6,0.6,20,83,35,0.00,0.04,0.04,0.00,0.04,0.00,0.02,0.02,0.00,0.02,Matches,2020-2021
504,James Ward-Prowse,eng ENG,MF,Southampton,25,1994,38,38,3420,38.0,8,7,15,5,3,4,5,0,5.7,2.5,3.9,6.4,34,189,51,0.21,0.18,0.39,0.13,0.32,0.15,0.10,0.25,0.07,0.17,Matches,2020-2021
505,Ollie Watkins,eng ENG,FW,Aston Villa,24,1995,37,37,3328,37.0,14,5,19,13,1,2,4,1,14.5,13.0,5.3,18.3,84,55,290,0.38,0.14,0.51,0.35,0.49,0.39,0.14,0.53,0.35,0.49,Matches,2020-2021
506,Caleb Watts,au AUS,MF,Southampton,18,2002,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
507,Adam Webster,eng ENG,DF,Brighton,25,1995,29,29,2594,28.8,1,0,1,1,0,0,4,0,2.0,2.0,0.2,2.2,42,133,4,0.03,0.00,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08,Matches,2020-2021
508,Danny Welbeck,eng ENG,FW,Brighton,29,1990,24,17,1545,17.2,6,1,7,6,0,1,0,0,6.6,5.8,2.8,8.7,21,25,98,0.35,0.06,0.41,0.35,0.41,0.39,0.16,0.55,0.34,0.50,Matches,2020-2021
509,Timo Werner,de GER,"FW,MF",Chelsea,24,1996,35,29,2602,28.9,6,8,14,6,0,0,2,0,11.4,11.4,5.6,17.0,103,69,238,0.21,0.28,0.48,0.21,0.48,0.39,0.19,0.59,0.39,0.59,Matches,2020-2021
510,Ashley Westwood,eng ENG,MF,Burnley,30,1990,38,38,3410,37.9,3,3,6,3,0,0,7,0,1.2,1.2,6.8,8.0,21,231,39,0.08,0.08,0.16,0.08,0.16,0.03,0.18,0.21,0.03,0.21,Matches,2020-2021
